                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2406,                  1.029,                 1.3938,                    nan,                0.66156,                0.24632,                0.17344,                    nan,                    nan,                    nan,             0.00055224,             0.00055224,             0.00055224
                      2,                0.53368,                0.79469,                0.24837,                0.53337,                0.37674,                0.37728,                0.27952,                0.72113,                0.92151,                0.44442,               0.001086,               0.001086,               0.001086
                      3,                0.52754,                0.75347,                0.23661,                    nan,                0.76494,                0.34372,                0.26037,                    nan,                    nan,                    nan,              0.0015977,              0.0015977,              0.0015977
                      4,                0.53275,                0.78588,                0.23413,                0.29923,                0.53598,                0.33112,                0.24497,                0.66555,                0.99558,                 0.3969,               0.001568,               0.001568,               0.001568
                      5,                  0.512,                0.80675,                0.22649,                0.45463,                0.57828,                0.50861,                0.36851,                0.58299,                0.95676,                0.32012,               0.001535,               0.001535,               0.001535
                      6,                0.49096,                0.76758,                0.21401,                 0.5514,                0.56918,                0.51377,                0.38415,                 0.6778,                0.93615,                0.41152,               0.001502,               0.001502,               0.001502
                      7,                0.48871,                0.78336,                0.20468,                0.45727,                0.54246,                0.46125,                0.36037,                0.59528,                0.94355,                0.34682,               0.001469,               0.001469,               0.001469
                      8,                0.45918,                0.76742,                0.20243,                0.43764,                0.62833,                 0.5216,                0.40128,                0.58475,                0.98971,                0.33358,               0.001436,               0.001436,               0.001436
                      9,                0.47122,                0.74665,                0.20852,                0.27605,                0.45669,                0.27586,                0.19442,                0.62391,                 1.0465,                0.34696,              0.0014029,              0.0014029,              0.0014029
                     10,                0.45592,                0.75471,                0.19211,                0.43993,                 0.5802,                0.51215,                0.39508,                0.58485,                0.99038,                0.33323,              0.0013699,              0.0013699,              0.0013699
                     11,                0.45186,                  0.753,                   0.19,                    nan,                 0.7749,                0.31796,                0.23752,                    nan,                    nan,                    nan,              0.0013369,              0.0013369,              0.0013369
                     12,                0.44494,                 0.7281,                 0.1856,                0.39512,                0.57286,                0.43784,                0.34596,                0.60364,                0.99258,                0.34082,              0.0013039,              0.0013039,              0.0013039
                     13,                0.45252,                0.76511,                0.20003,                    nan,                0.89507,                0.52938,                0.39679,                    nan,                    nan,                    nan,              0.0012709,              0.0012709,              0.0012709
                     14,                 0.4548,                0.74681,                0.19431,                 0.4166,                0.60469,                0.47232,                 0.3673,                0.57381,                0.95492,                0.32542,              0.0012379,              0.0012379,              0.0012379
                     15,                0.43563,                0.73048,                0.19132,                0.41686,                 0.6071,                0.47189,                0.37411,                0.57398,                0.99887,                0.31943,              0.0012049,              0.0012049,              0.0012049
                     16,                0.44731,                0.72061,                 0.1835,                0.48086,                0.56735,                0.48768,                0.39066,                0.58746,                 0.9578,                0.34626,              0.0011719,              0.0011719,              0.0011719
                     17,                0.42743,                0.71453,                0.18098,                0.53141,                0.62266,                0.59126,                0.46813,                0.55717,                 0.8987,                0.30027,              0.0011389,              0.0011389,              0.0011389
                     18,                0.43095,                0.70936,                 0.1809,                    nan,                0.90874,                0.53398,                0.42348,                    nan,                    nan,                    nan,              0.0011059,              0.0011059,              0.0011059
                     19,                0.41978,                0.69389,                0.17176,                    nan,                0.87923,                0.56338,                0.45056,                    nan,                    nan,                    nan,              0.0010729,              0.0010729,              0.0010729
                     20,                0.40707,                0.68618,                  0.171,                0.59343,                0.66132,                0.64224,                0.51398,                0.55391,                0.83906,                  0.306,              0.0010399,              0.0010399,              0.0010399
                     21,                0.41419,                0.67682,                0.17413,                0.42032,                0.58943,                0.46756,                0.38007,                 0.5871,                 0.9969,                0.33144,              0.0010069,              0.0010069,              0.0010069
                     22,                0.40933,                0.68713,                0.16964,                    nan,                0.91279,                0.62947,                0.49497,                    nan,                    nan,                    nan,             0.00097386,             0.00097386,             0.00097386
                     23,                0.39856,                0.67454,                0.16704,                0.57407,                0.66285,                0.63179,                0.51138,                0.53793,                0.86805,                0.30505,             0.00094085,             0.00094085,             0.00094085
                     24,                0.40843,                0.65182,                0.16732,                    nan,                0.89799,                0.62888,                0.51349,                    nan,                    nan,                    nan,             0.00090785,             0.00090785,             0.00090785
                     25,                0.37719,                0.66082,                0.16219,                    nan,                0.90896,                0.66635,                0.53386,                    nan,                    nan,                    nan,             0.00087484,             0.00087484,             0.00087484
                     26,                0.40056,                0.66001,                0.16789,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,             0.00084184,             0.00084184,             0.00084184
                     27,                    nan,                    nan,                    nan,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,             0.00080883,             0.00080883,             0.00080883
                     28,                0.39455,                0.65401,                0.16415,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,             0.00077582,             0.00077582,             0.00077582
                     29,                0.39724,                0.63923,                0.16106,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,             0.00074282,             0.00074282,             0.00074282
                     30,                0.37695,                 0.6164,                0.15618,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,             0.00070981,             0.00070981,             0.00070981
                     31,                0.37291,                0.60707,                0.15641,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,              0.0006768,              0.0006768,              0.0006768
                     32,                0.38581,                 0.6077,                0.15941,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,              0.0006438,              0.0006438,              0.0006438
                     33,                0.36367,                0.61072,                0.15281,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,             0.00061079,             0.00061079,             0.00061079
                     34,                0.37384,                0.61734,                0.16057,                    nan,                0.91493,                0.61853,                0.50221,                    nan,                    nan,                    nan,             0.00057778,             0.00057778,             0.00057778
