                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1844,                 2.2301,                 1.2503,                0.41931,                0.43081,                0.39838,                0.25897,                 1.6111,                 2.3753,                 1.5572,             0.00055224,             0.00055224,             0.00055224
                      2,                 1.1992,                 1.7674,                 1.2468,                0.32451,                0.43712,                0.23284,                0.13967,                 1.7762,                 2.6998,                 1.7009,              0.0010969,              0.0010969,              0.0010969
                      3,                 1.2365,                 1.6362,                 1.2618,                0.40978,                0.43495,                0.36527,                0.24447,                 1.7294,                 2.4425,                 1.6441,              0.0016306,              0.0016306,              0.0016306
                      4,                 1.2469,                 1.6013,                 1.2712,                0.23604,                  0.548,                0.30168,                0.20284,                 1.7201,                 3.0106,                 1.6209,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.1918,                 1.4822,                 1.2344,                0.32473,                0.50893,                0.37948,                0.26557,                 1.6719,                 2.2153,                 1.5648,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.1682,                 1.4668,                 1.2301,                0.42431,                 0.5202,                0.43013,                0.29664,                 1.6177,                 2.1172,                 1.5692,               0.001601,               0.001601,               0.001601
                      7,                 1.1507,                 1.4328,                 1.2206,                0.43068,                0.54221,                0.43032,                0.30315,                 1.5978,                 2.0202,                 1.5555,              0.0015845,              0.0015845,              0.0015845
                      8,                  1.112,                 1.3736,                 1.2019,                0.58343,                0.54935,                0.52286,                0.34619,                 1.5553,                 1.8817,                 1.4948,               0.001568,               0.001568,               0.001568
                      9,                 1.1039,                 1.3417,                    1.2,                0.42922,                0.57661,                0.47704,                0.34173,                 1.5323,                 1.9966,                 1.4913,              0.0015515,              0.0015515,              0.0015515
                     10,                  1.095,                 1.3196,                 1.2014,                0.57411,                0.56836,                0.55132,                0.39924,                 1.4876,                 1.8369,                 1.4581,               0.001535,               0.001535,               0.001535
