                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5725,                 2.5641,                 1.8475,                0.63327,                0.25333,                0.38462,                0.17402,                 1.8761,                 2.9098,                 2.3385,             0.00054538,             0.00054538,             0.00054538
                      2,                 1.6043,                 2.2459,                 1.8615,                0.13624,                0.28358,                0.11331,                0.04626,                 2.3699,                 5.1354,                 3.1713,              0.0010938,              0.0010938,              0.0010938
                      3,                  1.694,                 2.2002,                 1.9084,                0.25109,                0.21951,                0.15911,                0.06512,                 2.9259,                 3.3316,                 3.8445,              0.0016348,              0.0016348,              0.0016348
                      4,                 1.7027,                 2.1593,                 1.9318,                 0.3383,                0.29523,                0.27358,                0.13181,                 2.5479,                 3.5604,                 3.1194,               0.001634,               0.001634,               0.001634
                      5,                 1.6899,                 2.1136,                 1.9327,                0.34614,                0.34583,                0.28361,                0.11415,                 2.4141,                 2.9961,                  2.988,               0.001634,               0.001634,               0.001634
                      6,                 1.6699,                 2.0332,                 1.9132,                0.31177,                0.34597,                0.30011,                0.14215,                 2.1419,                 2.5503,                 2.7544,               0.001623,               0.001623,               0.001623
                      7,                  1.627,                 1.9721,                 1.8532,                0.45541,                0.39453,                 0.3642,                 0.1467,                 2.2412,                 2.5339,                 2.5848,               0.001612,               0.001612,               0.001612
                      8,                 1.6495,                 1.9384,                 1.8827,                0.38479,                0.37459,                0.33377,                0.15345,                 2.1005,                 2.6086,                 2.5452,               0.001601,               0.001601,               0.001601
                      9,                 1.5837,                 1.8603,                 1.8329,                0.46614,                0.42264,                0.39234,                0.19687,                 2.0681,                 2.3186,                 2.6013,                0.00159,                0.00159,                0.00159
                     10,                 1.5688,                 1.8457,                 1.7994,                 0.3932,                0.38969,                0.36039,                0.17243,                 2.1847,                 2.4328,                 2.5588,               0.001579,               0.001579,               0.001579
                     11,                 1.5684,                 1.8223,                 1.7965,                0.54607,                 0.4332,                0.45115,                0.20265,                 1.9809,                 2.1154,                 2.3916,               0.001568,               0.001568,               0.001568
                     12,                 1.5413,                 1.7871,                 1.7958,                0.44114,                 0.4383,                0.40963,                 0.2042,                 2.1045,                 2.3623,                 2.5473,               0.001557,               0.001557,               0.001557
                     13,                 1.5354,                 1.7508,                 1.7645,                0.43516,                0.42519,                0.41205,                0.21115,                 1.8572,                 2.1745,                 2.3102,               0.001546,               0.001546,               0.001546
                     14,                 1.5084,                 1.6957,                 1.7525,                0.55648,                0.45994,                0.47686,                0.20669,                 2.0166,                 1.9519,                 2.4945,               0.001535,               0.001535,               0.001535
                     15,                 1.5439,                 1.7297,                 1.7813,                 0.2934,                0.32399,                0.24447,                0.10665,                  2.093,                  3.475,                 2.4799,               0.001524,               0.001524,               0.001524
                     16,                 1.4825,                 1.6619,                  1.722,                0.65299,                0.49945,                0.56418,                 0.2906,                 1.9174,                 1.8368,                 2.2803,               0.001513,               0.001513,               0.001513
                     17,                 1.4722,                 1.6378,                 1.7006,                0.58887,                0.51365,                0.54316,                0.27527,                 1.9172,                  1.896,                 2.2797,               0.001502,               0.001502,               0.001502
                     18,                 1.4557,                 1.6336,                 1.7118,                0.61942,                 0.5111,                0.56199,                0.28853,                 1.8994,                 1.7798,                 2.2663,               0.001491,               0.001491,               0.001491
                     19,                 1.4141,                  1.565,                 1.7092,                0.58712,                0.53185,                0.54012,                 0.2547,                 1.9706,                 1.8573,                 2.3893,                0.00148,                0.00148,                0.00148
                     20,                 1.4188,                 1.5641,                  1.686,                0.68729,                0.49108,                0.56956,                0.29912,                 1.8635,                 1.8405,                 2.2402,               0.001469,               0.001469,               0.001469
                     21,                 1.4126,                 1.5502,                  1.676,                0.65599,                0.51183,                 0.5671,                0.29223,                 1.8655,                 1.9944,                 2.3145,               0.001458,               0.001458,               0.001458
                     22,                   1.45,                 1.5651,                 1.7001,                0.61723,                0.51402,                0.56089,                0.28741,                 1.8715,                 1.8747,                 2.2265,               0.001447,               0.001447,               0.001447
                     23,                 1.4057,                 1.5241,                 1.6568,                0.63054,                0.53076,                0.58106,                0.28841,                 1.9767,                 1.7861,                 2.2812,               0.001436,               0.001436,               0.001436
                     24,                 1.3964,                 1.4994,                 1.6549,                0.65182,                0.53477,                0.58522,                0.30834,                  1.888,                 1.7037,                 2.2775,               0.001425,               0.001425,               0.001425
                     25,                 1.3845,                 1.4864,                 1.6531,                0.63027,                 0.5163,                0.54763,                 0.2631,                 1.9212,                 1.8211,                 2.3332,              0.0014139,              0.0014139,              0.0014139
                     26,                 1.3771,                 1.4554,                 1.6355,                0.63766,                0.54714,                0.60018,                0.31974,                 1.9086,                 1.6786,                 2.3556,              0.0014029,              0.0014029,              0.0014029
                     27,                 1.3956,                 1.4559,                  1.645,                0.68779,                0.55976,                0.63199,                0.33402,                 1.8455,                 1.6826,                 2.1953,              0.0013919,              0.0013919,              0.0013919
                     28,                 1.3682,                  1.439,                 1.6367,                0.60984,                0.55806,                 0.5831,                0.30727,                 1.8438,                 1.7734,                 2.2032,              0.0013809,              0.0013809,              0.0013809
                     29,                 1.3905,                 1.4791,                 1.6537,                0.64003,                0.55442,                0.59712,                 0.3214,                 1.8316,                 1.6656,                 2.1987,              0.0013699,              0.0013699,              0.0013699
                     30,                 1.3527,                 1.3893,                 1.6176,                0.60728,                0.57517,                0.60047,                0.30874,                 1.8739,                 1.6944,                 2.2139,              0.0013589,              0.0013589,              0.0013589
                     31,                 1.3686,                 1.4142,                 1.6222,                0.68606,                0.55926,                0.63403,                0.31984,                 1.8803,                 1.6358,                 2.1726,              0.0013479,              0.0013479,              0.0013479
                     32,                 1.3407,                 1.3858,                 1.6078,                0.66264,                0.56607,                0.63026,                0.33351,                 1.8008,                 1.6121,                 2.1022,              0.0013369,              0.0013369,              0.0013369
                     33,                 1.3525,                 1.3737,                 1.6208,                0.73374,                0.58585,                0.66477,                0.35776,                 1.8577,                 1.5859,                  2.195,              0.0013259,              0.0013259,              0.0013259
                     34,                  1.335,                 1.3649,                 1.5951,                0.71092,                 0.5658,                0.64989,                0.34389,                 1.7809,                 1.6329,                 2.1361,              0.0013149,              0.0013149,              0.0013149
                     35,                 1.3273,                 1.3731,                 1.5872,                0.68743,                0.61085,                0.66345,                0.35705,                 1.8061,                 1.6144,                 2.1521,              0.0013039,              0.0013039,              0.0013039
                     36,                 1.3217,                 1.3258,                 1.5789,                 0.7026,                0.62577,                0.68641,                0.36114,                 1.7988,                 1.7139,                 2.1037,              0.0012929,              0.0012929,              0.0012929
                     37,                 1.3163,                 1.3043,                 1.5876,                0.70928,                0.61195,                0.66919,                0.36006,                 1.7982,                 1.5255,                 2.1409,              0.0012819,              0.0012819,              0.0012819
                     38,                 1.2703,                 1.3064,                 1.5527,                0.68521,                0.58755,                0.64681,                0.36344,                 1.7929,                 1.5436,                 2.1704,              0.0012709,              0.0012709,              0.0012709
                     39,                   1.32,                  1.298,                 1.5982,                0.62741,                 0.5327,                0.58424,                0.31851,                  1.813,                  1.633,                 2.1212,              0.0012599,              0.0012599,              0.0012599
                     40,                 1.2819,                 1.2711,                 1.5461,                0.71587,                0.61376,                0.67612,                0.36091,                 1.8449,                 1.5196,                  2.195,              0.0012489,              0.0012489,              0.0012489
                     41,                 1.2755,                 1.3436,                 1.5717,                0.67171,                0.59337,                0.65016,                0.36175,                 1.7948,                 1.5548,                 2.1971,              0.0012379,              0.0012379,              0.0012379
                     42,                 1.2808,                 1.2906,                 1.5595,                0.69404,                0.61194,                0.67381,                0.36264,                 1.8428,                 1.5034,                 2.1828,              0.0012269,              0.0012269,              0.0012269
                     43,                 1.2469,                  1.233,                 1.5384,                0.73622,                0.61558,                0.68865,                0.37162,                 1.8194,                 1.4617,                 2.1542,              0.0012159,              0.0012159,              0.0012159
                     44,                 1.2891,                 1.2557,                 1.5614,                0.63152,                0.55042,                0.57374,                0.32205,                  1.909,                 1.7877,                 2.3448,              0.0012049,              0.0012049,              0.0012049
                     45,                 1.2809,                 1.2662,                 1.5522,                0.73256,                0.62213,                0.69264,                0.38597,                 1.7584,                 1.4807,                  2.116,              0.0011939,              0.0011939,              0.0011939
                     46,                 1.2377,                  1.223,                 1.5203,                0.63987,                0.58245,                0.61608,                0.32584,                 1.8942,                 1.6425,                 2.2005,              0.0011829,              0.0011829,              0.0011829
                     47,                 1.2587,                 1.2201,                  1.543,                0.74345,                0.62869,                0.69927,                0.37828,                 1.7665,                 1.4667,                 2.1418,              0.0011719,              0.0011719,              0.0011719
                     48,                 1.2814,                 1.2241,                 1.5524,                0.73645,                0.62457,                0.69369,                0.37413,                 1.8197,                 1.4631,                 2.1329,              0.0011609,              0.0011609,              0.0011609
                     49,                 1.2155,                  1.183,                 1.5152,                0.74024,                0.64109,                0.69796,                0.37476,                 1.8233,                 1.4189,                 2.1994,              0.0011499,              0.0011499,              0.0011499
                     50,                 1.2175,                 1.1878,                 1.5256,                0.69265,                0.59337,                0.66141,                0.35801,                 1.8474,                 1.5043,                 2.1339,              0.0011389,              0.0011389,              0.0011389
                     51,                 1.2588,                 1.1906,                 1.5197,                0.70661,                0.64543,                0.68644,                0.38175,                 1.7644,                 1.4271,                 2.1184,              0.0011279,              0.0011279,              0.0011279
                     52,                 1.2657,                 1.2236,                 1.5447,                0.74151,                0.63595,                0.70041,                0.38247,                 1.7918,                 1.4469,                 2.0746,              0.0011169,              0.0011169,              0.0011169
                     53,                 1.2341,                 1.1614,                 1.5014,                0.78917,                0.63123,                0.72627,                0.40682,                 1.7733,                 1.3637,                 2.1051,              0.0011059,              0.0011059,              0.0011059
                     54,                  1.217,                 1.1723,                 1.5031,                0.73653,                0.60854,                0.67832,                0.37456,                 1.7894,                 1.4507,                 2.1923,              0.0010949,              0.0010949,              0.0010949
                     55,                  1.241,                  1.179,                 1.5265,                0.79761,                 0.6542,                0.74276,                0.41093,                   1.74,                 1.3034,                 2.0644,              0.0010839,              0.0010839,              0.0010839
                     56,                 1.2216,                 1.1982,                 1.5149,                0.74421,                0.62141,                0.70275,                0.39778,                 1.7423,                 1.4375,                 2.1536,              0.0010729,              0.0010729,              0.0010729
                     57,                 1.1782,                 1.1342,                 1.4925,                0.74232,                0.65126,                0.71819,                0.39578,                 1.7462,                 1.3594,                  2.076,              0.0010619,              0.0010619,              0.0010619
                     58,                 1.2072,                 1.1561,                 1.5015,                0.75635,                0.66036,                0.73807,                0.39923,                 1.7705,                 1.3751,                 2.0595,              0.0010509,              0.0010509,              0.0010509
                     59,                 1.2182,                 1.1459,                  1.521,                0.73135,                0.64317,                0.70293,                0.38099,                  1.779,                 1.3878,                 2.1037,              0.0010399,              0.0010399,              0.0010399
                     60,                 1.2043,                 1.1345,                   1.49,                0.75071,                0.63582,                0.71422,                 0.4047,                 1.7495,                 1.3788,                 2.0745,              0.0010289,              0.0010289,              0.0010289
                     61,                 1.1985,                 1.1089,                 1.4878,                0.77534,                0.65016,                0.72716,                0.40393,                 1.7471,                 1.3583,                  2.069,              0.0010179,              0.0010179,              0.0010179
                     62,                 1.1993,                 1.1033,                 1.4728,                  0.758,                0.62541,                0.69531,                0.39706,                 1.7631,                 1.4057,                 2.1134,              0.0010069,              0.0010069,              0.0010069
                     63,                 1.1721,                 1.0721,                 1.4655,                0.77747,                0.66136,                0.73887,                0.41837,                 1.7052,                 1.2985,                 2.0227,             0.00099587,             0.00099587,             0.00099587
                     64,                 1.1589,                 1.0883,                  1.456,                0.73275,                0.63014,                0.70672,                0.39757,                 1.7139,                 1.3568,                 2.0492,             0.00098486,             0.00098486,             0.00098486
                     65,                 1.1669,                 1.0935,                 1.4761,                 0.7814,                0.64804,                0.72433,                0.39635,                 1.7778,                 1.3394,                 2.0912,             0.00097386,             0.00097386,             0.00097386
                     66,                 1.1826,                 1.0889,                 1.4918,                0.78314,                0.63961,                0.72669,                0.41934,                 1.7236,                 1.3402,                 2.0634,             0.00096286,             0.00096286,             0.00096286
                     67,                 1.1854,                 1.0783,                  1.455,                0.76654,                0.64762,                0.72859,                  0.421,                 1.6992,                 1.3124,                 2.0434,             0.00095186,             0.00095186,             0.00095186
                     68,                 1.1404,                 1.0783,                  1.458,                0.75787,                0.64616,                0.72564,                 0.4122,                 1.7259,                 1.3044,                 2.0655,             0.00094085,             0.00094085,             0.00094085
                     69,                 1.1402,                 1.0785,                 1.4475,                0.81714,                0.67237,                0.75843,                0.42573,                  1.716,                 1.2779,                 2.0324,             0.00092985,             0.00092985,             0.00092985
                     70,                 1.1437,                 1.0628,                 1.4496,                0.76049,                0.61776,                0.71096,                0.40587,                 1.7441,                 1.3416,                 2.0447,             0.00091885,             0.00091885,             0.00091885
                     71,                 1.1592,                 1.0667,                 1.4663,                0.76243,                0.65539,                0.73117,                 0.4208,                 1.7071,                 1.2953,                 2.0547,             0.00090785,             0.00090785,             0.00090785
                     72,                 1.1143,                 1.0296,                 1.4323,                0.79845,                0.68356,                0.76756,                0.43962,                  1.693,                 1.2411,                 2.0063,             0.00089685,             0.00089685,             0.00089685
                     73,                 1.1198,                 1.0443,                 1.4188,                0.76838,                0.66618,                0.73724,                0.40934,                 1.7507,                 1.3203,                  2.064,             0.00088584,             0.00088584,             0.00088584
                     74,                 1.1484,                 1.0571,                 1.4625,                0.75936,                0.68005,                0.74179,                0.42441,                 1.6708,                 1.2603,                 1.9991,             0.00087484,             0.00087484,             0.00087484
                     75,                 1.0954,                 1.0001,                 1.4212,                0.77005,                0.64143,                0.71643,                0.41404,                 1.7348,                 1.3581,                 2.0935,             0.00086384,             0.00086384,             0.00086384
                     76,                 1.0822,                0.97689,                  1.399,                0.78118,                0.64981,                0.72027,                0.41207,                 1.7531,                 1.3422,                 2.1403,             0.00085284,             0.00085284,             0.00085284
                     77,                 1.1278,                0.99713,                  1.428,                0.81675,                0.66199,                0.76129,                0.43885,                 1.7106,                 1.2227,                 2.0309,             0.00084184,             0.00084184,             0.00084184
                     78,                 1.0901,                0.96956,                 1.4081,                 0.7749,                0.67922,                0.74344,                0.42663,                 1.6792,                 1.2385,                 2.0047,             0.00083083,             0.00083083,             0.00083083
                     79,                  1.082,                0.96387,                  1.404,                0.77779,                0.66473,                0.74109,                0.43102,                 1.6702,                 1.2413,                 2.0109,             0.00081983,             0.00081983,             0.00081983
                     80,                 1.0904,                0.99775,                 1.4204,                0.79753,                0.65926,                0.74629,                0.43459,                 1.6748,                  1.267,                  2.046,             0.00080883,             0.00080883,             0.00080883
                     81,                 1.0546,                0.96422,                 1.3849,                0.78904,                0.66852,                0.74518,                0.43127,                 1.6983,                 1.2572,                 2.0499,             0.00079783,             0.00079783,             0.00079783
                     82,                 1.0649,                0.94063,                 1.3818,                0.79505,                0.68329,                0.76108,                0.43777,                  1.709,                 1.2138,                 2.0662,             0.00078682,             0.00078682,             0.00078682
                     83,                 1.0702,                0.96212,                 1.4088,                0.78169,                 0.6765,                0.75165,                0.43589,                 1.6816,                  1.226,                 2.0346,             0.00077582,             0.00077582,             0.00077582
                     84,                 1.0763,                0.97817,                 1.4119,                0.77125,                0.67637,                0.75232,                0.42396,                 1.7145,                 1.2073,                 2.0504,             0.00076482,             0.00076482,             0.00076482
                     85,                 1.0608,                0.96073,                  1.401,                0.78666,                0.69129,                0.75989,                0.42774,                 1.7204,                 1.1959,                 2.0625,             0.00075382,             0.00075382,             0.00075382
                     86,                  1.087,                0.95957,                 1.4032,                0.80018,                0.67205,                0.74396,                0.43218,                 1.7012,                 1.2546,                 2.0652,             0.00074282,             0.00074282,             0.00074282
                     87,                 1.0547,                0.94224,                 1.3817,                0.81644,                0.69276,                0.76466,                0.43737,                 1.6919,                 1.1608,                 2.0508,             0.00073181,             0.00073181,             0.00073181
                     88,                  1.069,                0.94525,                  1.394,                0.80487,                0.65926,                0.75361,                0.42774,                 1.7031,                 1.2123,                 2.0499,             0.00072081,             0.00072081,             0.00072081
                     89,                 1.0514,                0.92404,                 1.3691,                0.80674,                0.67928,                0.75532,                0.44514,                 1.6682,                 1.2065,                 2.0252,             0.00070981,             0.00070981,             0.00070981
                     90,                 1.0235,                0.93703,                 1.3585,                0.81915,                0.67237,                0.76653,                0.44902,                 1.6735,                 1.1991,                 2.0262,             0.00069881,             0.00069881,             0.00069881
                     91,                 1.0253,                0.91683,                 1.3701,                0.78937,                0.67856,                0.75431,                0.43602,                 1.6887,                 1.2071,                 2.0365,              0.0006878,              0.0006878,              0.0006878
                     92,                 1.0371,                0.91181,                 1.3692,                0.79981,                0.70685,                0.76427,                0.44729,                 1.6584,                 1.1865,                 2.0084,              0.0006768,              0.0006768,              0.0006768
                     93,                 1.0147,                0.89795,                 1.3501,                0.83948,                0.66655,                0.76904,                0.45133,                 1.6829,                 1.2145,                 2.0367,              0.0006658,              0.0006658,              0.0006658
                     94,                 1.0119,                0.88263,                 1.3381,                0.79491,                0.69418,                0.76733,                0.44528,                 1.6966,                 1.1699,                 2.0466,              0.0006548,              0.0006548,              0.0006548
                     95,                 1.0452,                0.93598,                 1.3761,                0.82127,                0.67915,                0.76926,                0.43767,                 1.6832,                 1.1594,                 2.0405,              0.0006438,              0.0006438,              0.0006438
