                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4321,                 2.0145,                 1.7019,                0.48728,                0.45788,                0.38476,                0.14919,                 2.0881,                 2.2821,                  2.483,             0.00066421,             0.00066421,             0.00066421
                      2,                 1.5729,                 1.8625,                 1.8089,                0.64546,                0.51619,                 0.5915,                0.28694,                 1.7621,                 1.7112,                 2.2185,              0.0013177,              0.0013177,              0.0013177
                      3,                 1.6103,                 1.8449,                 1.8405,                0.45767,                0.46124,                0.41357,                 0.1561,                 2.0339,                 2.1436,                 2.4746,               0.001958,               0.001958,               0.001958
                      4,                 1.5633,                 1.7403,                 1.7886,                0.63945,                0.53846,                0.59513,                0.30861,                 1.7484,                 1.5796,                 2.1841,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5138,                 1.6838,                 1.7603,                 0.6699,                0.57923,                 0.6333,                  0.313,                 1.7172,                  1.572,                 2.1864,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.4817,                 1.6344,                 1.7361,                0.68941,                0.55717,                0.59804,                0.31488,                  1.702,                 1.5244,                 2.2573,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.4238,                 1.5747,                  1.694,                0.70174,                0.63158,                0.67342,                0.32487,                 1.7438,                  1.464,                 2.1371,               0.001901,               0.001901,               0.001901
                      8,                  1.426,                 1.5338,                 1.6797,                0.76425,                0.65624,                0.73912,                0.41436,                 1.4855,                 1.3205,                 1.9161,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.3858,                 1.4866,                 1.6567,                0.78251,                0.68219,                0.77676,                0.45271,                  1.469,                 1.1661,                 1.8876,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.3686,                 1.4457,                 1.6427,                0.81525,                0.66802,                0.78979,                 0.4272,                 1.5081,                 1.1432,                 1.9431,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3703,                 1.4145,                 1.6356,                0.75306,                0.68016,                0.75624,                0.43751,                 1.4721,                 1.1861,                 1.8577,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3267,                 1.3835,                  1.603,                0.74094,                 0.7004,                 0.7725,                0.45389,                 1.4122,                 1.1337,                 1.8452,               0.001802,               0.001802,               0.001802
                     13,                 1.3179,                 1.3558,                 1.5929,                0.81342,                0.69636,                0.79061,                0.46337,                 1.4211,                 1.1134,                 1.8395,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.3133,                 1.3488,                  1.591,                 0.7844,                0.73647,                0.80857,                 0.4823,                 1.4054,                 1.0592,                 1.7934,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2826,                 1.3097,                  1.575,                0.81645,                0.72672,                0.81743,                0.46964,                 1.4429,                 1.0878,                 1.8384,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.3015,                 1.3126,                 1.5829,                0.76095,                0.75709,                0.81809,                0.48995,                 1.3678,                 1.0802,                 1.7921,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2794,                 1.2965,                 1.5728,                0.77835,                0.76773,                0.82795,                0.49285,                 1.3874,                 1.0393,                 1.7898,               0.001703,               0.001703,               0.001703
